Place Name,Owner,Address,Stadtteil,Polnische Straße,Polnische Adresse
Kernchen, R., Kaiser Wilhelmstr. 12, J.,Szamarzewskiego,Szamarzewskiego 12, Poznań
Kirscht, E., Glogauerstr. 105, L.,Głogowska,Głogowska 105, Poznań
Kiry, P., St. Martinstr. 26.,,Św. Marcin,Św. Marcin 26, Poznań
Klande, W., Friedrichstr. 27.,,25 lutego,23 lutego 27, Poznań
Klein, C., Halbdorfstr. 41.,,Półwiejska,Półwiejska 41, Poznań
Kleinert, H., Thiergartenstr 8, J.,Zwierzyniecka,Zwierzyniecka 8, Poznań
Klunder, J., Kronprinzenstr. 109, W.,Górna Wilda,Górna Wilda 109, Poznań
Knoll, B., Bergstr. 18.,,Podgórna,Podgórna 18, Poznań
Konopinski, V., Alt. Markt 59.,,Stary Rynek,Stary Rynek 59, Poznań
Kopliński, Fr., Wallischei 2.,,Chwaliszewo,Chwaliszewo 2, Poznań
Koppe, A., Alt. Markt 76.,,Stary Rynek,Stary Rynek 76, Poznań
Kostro, J., Alt. Markt 8.,,Stary Rynek,Stary Rynek 8, Poznań
Kowarsch, H., St. Adalbertstr. 1.,,Św. Wojciech,Św. Wojciech 1, Poznań
Kozioł, H., Kirchstr. 41, J.,Kościelna,Kościelna 41, Poznań
Kraetschmann, A., Eichwaldstr. 7.,,Droga Dębińska,Droga Dębińska 7, Poznań
Kraetschmann, B., Flurstr. 1.,,Sienna,52°24'31.0"N 16°56'39.1"E
Kraetschmann, A. , Eichwaldstr. 6.,,Droga Dębińska,Droga Dębińska 6, Poznań
Krakauer, J., Schützenstr. 26.,,Strzelecka,Strzelecka 26, Poznań
Krebs, W., Bahnstr. 21, W.,Kolejowa,Kolejowa 21, Poznań
Kretschmer, A., Viktoriastr. 12.,,Seweryna Mielżyńskiego/Gwarna,Seweryna Mielżyńskiego/Gwarna 12, Poznań
Krüger, V., Schuhmacherstr. 1.,,Szewska,Szewska 1, Poznań
Krzyzankiewiez, P., Ziegelstr. 2, J.,Niska & Grudzieniec,Niska & Grudzieniec 2, Poznań
Kuhnke, O., Wilhelmstr. 28.,,Al. Marcinkowskiego,Al. Marcinkowskiego 28, Poznań
Kunkel, L., Kirchstr. 36, J.,Kościelna,Kościelna 36, Poznań
Kutzner, G., Fischerei 23.,,Rybaki,Rybaki 23, Poznań
Lange, P., Wilhelmstr. 7.,,Al. Marcinkowskiego,Al. Marcinkowskiego 7, Poznań
Latuszak, C., Sandstr. 1.,,Piaskowa,Piaskowa 1, Poznań
Lauchstaedt, F., Hedwigstr. 16, J.,Kraszewskiego,Kraszewskiego 16, Poznań
Lehmann, P., Glogauerstr. 112, J.,Głogowska,Głogowska 112, Poznań
Lehmann, A, Naumannstr. 10.,,Działyńskich,Działyńskich 10, Poznań
Lepczyk, L., Cybinastr. 12.,,Cybińska,Cybińska 12, Poznań
