Place Name,Owner,Address,Phone Number,Type,unnamed (1),Adressen PLZ
Andruczewski, B.,,Sapiehapl. 5,,Konditoreien u. Cafes,Plac Wielkopolski 5,Plac Wielkopolski 5, Poznań
Antoniewiez, R.,,Büttelstr. 13a,,Konditoreien u. Cafes,Woźna 13a,Woźna 13a, Poznań
Aring, H.,,Alter Markt 31,,Konditoreien u. Cafes,Stary Rynek 31,Stary Rynek 31, Poznań
Beely, J. P. & Co.,,Theaterstr. 7,,Konditoreien u. Cafes,3 Maja 7,3 Maja 7, Poznań
Cafe Alt Bayern,,Wilhelmstr. 12,,Konditoreien u. Cafes,Al. Marcinkowskiego 12,Al. Marcinkowskiego 12, Poznań
Cafe Bristol,,Tiergartenstr. 1,,Konditoreien u. Cafes,Zwierzyniecka 1,Zwierzyniecka 1, Poznań
Cafe Esplanade,Inh, Allr. Rademacher,,Wilhelmpl, Altes Stadttheater,,Konditoreien u. Cafes,Plac Wolnosci,Plac Wolności, Poznań
Cafe Habsburg,,Breite Str. 20,,Konditoreien u. Cafes,Wielka 20,Wielka 20, Poznań
Café Imperial,,Gr. Gerberstr, 37,,Konditoreien u. Cafes,Garbary 37,Garbary 37, Poznań
Cafe International,,Berliner-Strasse 17,,Konditoreien u. Cafes,27 Grudnia 17,27 Grudnia 17, Poznań
Cafe Kaiserkrone,,Tiergartenstrasse 8,,Konditoreien u. Cafes,Zwierzyniecka 8,Zwierzyniecka 8, Poznań
Cafe Monopol,Inhaber Lustig,Viktoriastr. 21,,Konditoreien u. Cafes,Seweryna Mielżyńskiego/Gwarna 21,Seweryna Mielżyńskiego/Gwarna 21, Poznań
Cafe Tivoli,,Alter Markt 51,,Konditoreien u. Cafes,Stary Rynek 51,Stary Rynek 51, Poznań
Erhorn, G.,,Ritterstr. 39,,Konditoreien u. Cafes,Ratajczaka 39,Ratajczaka 39, Poznań
Grand Cats,,Wilhelmpl. 18,,Konditoreien u. Cafes,Plac Wolnosci 18,Plac Wolności 18, Poznań
Heisler,,Kronprinzenstr. 32,,Konditoreien u. Cafes,Górna Wilda 32,Górna Wilda 32, Poznań
Heppner, H.,,Theaterstr. 6,,Konditoreien u. Cafes,3 Maja 6,3 Maja 6, Poznań
Heppner, H.,,Breite Strasse 10,,Konditoreien u. Cafes,Wielka 10,Wielka 10, Poznań
Hirschlik, J.,,Friedrichstr. 38,,Konditoreien u. Cafes,23 lutego 38,23 Lutego 38, Poznań
Hyzewicz, E.,,Bergstr. 4,,Konditoreien u. Cafes,Podgórna 4,Podgórna 4, Poznań
Jagielski, W.,,Breite Str. 15,,Konditoreien u. Cafes,Wielka 15,Wielka 15, Poznań
Karpinski, B.,,Wasserstr. 7,,Konditoreien u. Cafes,Wodna 7,Wodna 7, Poznań
Krokowski, A.,Konditorei,Hedwigstr. 13,,Konditoreien u. Cafes,Kraszewskiego 13,Kraszewskiego 13, Poznań
Krzyzankiewiez, St.,fraglich ob Konditorei
,Posener Strasse 39,,Konditoreien u. Cafes,Poznańska 39,Poznańska 39, Poznań
Kurczewski, W.,,Breslauer Str. 9,,Konditoreien u. Cafes,Wrocławska 9,Wrocławska 9, Poznań
Lustig, G.,,Viktoriastr. 8,,Konditoreien u. Cafes,Seweryna Mielżyńskiego/Gwarna 8,Seweryna Mielżyńskiego/Gwarna 8, Poznań
Manske, A.,,Wilhelmpl. 17,,Konditoreien u. Cafes,Plac Wolnosci 17,Plac Wolności 17, Poznań
Matern, O.,Konditor,Neue Gartenstr, 66,,Konditoreien u. Cafes,Matejki 66,Matejki 66, Poznań
Meyder, G.,Konditorei,Glogauer Str. 58,,Konditoreien u. Cafes,Roosevelta/Głogowska 58,Roosevelta 58, Poznań
Mlotowski,,Kronprinzenstr. 32,,Konditoreien u. Cafes,Górna Wilda 32,Górna Wilda 32, Poznań
Müller, H.,,Blumenstr. 14,,Konditoreien u. Cafes,Kwiatowa 14,Kwiatowa 14, Poznań
Naumann,,Kronprinzenstr, 90c,,Konditoreien u. Cafes,Górna Wilda 90c,Górna Wilda 90c, Poznań
Pfitzner, A.,,Alter Markt 7,,Konditoreien u. Cafes,Stary Rynek 7,Stary Rynek 7, Poznań
Siebert, P.,,St. Martinstr. 47,,Konditoreien u. Cafes,Św. Marcin 47,Św. Marcin 47, Poznań
Siminski, V.,,Schützenstr. 31,,Konditoreien u. Cafes,Strzelecka 31,Strzelecka 31, Poznań
v. Swiniarski,,Am Karmeliterwall 12a,,Konditoreien u. Cafes,Krakowska 12a,Krakowska 12a, Poznań
v. Szpotanski,,Wronker Str. 6/8,,Konditoreien u. Cafes,Wroniecka 6/8,Wroniecka 6/8, Poznań
Tillgner, B.,,Bergstr. 13,,Konditoreien u. Cafes,Podgórna 13,Podgórna 13, Poznań
Vieweg, M.,,Viktoriastr. 9,,Konditoreien u. Cafes,Seweryna Mielżyńskiego/Gwarna 9,Seweryna Mielżyńskiego/Gwarna 9, Poznań
Wandelt,,Bäckerstr. 20/21,,Konditoreien u. Cafes,Piekary 20/21,Piekary 20/21, Poznań
Wiener Cafe,,Bismarckstr, 9,,Konditoreien u. Cafes,Kantaka 9,Kantaka 9, Poznań
Zawadzki, B.,,Wasserstr, 13,,Konditoreien u. Cafes,Wodna 13,Wodna 13, Poznań
