Name,Bezeichnung,Adresse,unnamed (1),unnamed (2),Adresse Poznan,unnamed (3),unnamed (4),unnamed (5),Quelle,Aktenzeichen,Laufzeit
Switalski, Saal des Switalski, Eichwaldstrasse 26,,Droga Dębińska 26,Droga Dębińska 26, Poznań,,,,A. betr. den Saal des Switalski, Eichwaldstrasse 26,53/294/0/3.87/5475,1912-1919
Przybylski, Saal des Przybylski, Eichwaldstrasse 20,,Droga Dębińska 20,Droga Dębińska 20, Poznań,,,,A. betr. den Saal des Przybylski, Eichwaldstrasse 20,53/294/0/3.87/5476,1912-1919
Stensche, Saal des Stensche, Hedwigstrasse 16,,Kraszewskiego 16,Kraszewskiego 16, Poznań,,,,A. betr. den Saal des Stensche, Hedwigstrasse 16,53/294/0/3.87/5477,1912-1919
Kronprinzenstrasse 104, Saal in ,Kronprinzenstrasse 104,,Górna Wilda 104,Górna Wilda 104, Poznań,,,,A. betr. den Saal in Kronprinzenstrasse 104,53/294/0/3.87/5478,1912-1919
Lazarusstrasse 41, Saal in ,Lazarusstrasse 41,,Głogowska 41,Głogowska 41, Poznań,,,,A. betr. den Saal in Lazarusstrasse 41,53/294/0/3.87/5479,1912-1919
Marstallstrasse 8, Saal in ,Marstallstrasse 8,,Masztalerska 8,Masztalerska 8, Poznań,,,,A. betr. den Saal in Marstallstrasse 8,53/294/0/3.87/5480,1912-1919
Zaworski, Saal des Zaworski, St. Martinstrasse 69,,Św. Marcin 69,Św. Marcin 69, Poznań,,,,A. betr. den Saal des Zaworski, St. Martinstrasse 69,53/294/0/3.87/5481,1912-1919
Stenzel-Schlachthof, Saal der Stenzel-Schlachthof,,,ul. Garbary 101/111 ?,ul. Garbary 101/111, Poznań,,,,A. betr. den Saal der Stenzel-Schlachthof,53/294/0/3.87/5482,1912-1919
 Marienstrasse 6, Saal in, Marienstrasse 6,,Gajowa 6,Gajowa 6, Poznań,,,,A. betr. den Saal in Marienstrasse 6,53/294/0/3.87/5483,1912-1919
 Tiergartenstrasse 10, Saal in, Tiergartenstrasse 10,,Zwierzyniecka 10,Zwierzyniecka 10, Poznań,,,,A. betr. den Saal in Tiergartenstrasse 10,53/294/0/3.87/5484,1912-1919
 Mettler, Saal des Mettler, Ziegelstrasse 2,,Niska & Grudzieniec 2, Poznań,Niska & Grudzieniec 2, Poznań,,,,A. betr. den Saal des Mettler, Ziegelstrasse 2,53/294/0/3.87/5485,1912-1919
Gollau, Saal in, Unter-Wilda 72,,Dolna Wilda 72,Dolna Wilda 72, Poznań,,,,A. betr. den Saal in Unter-Wilda 72 /Gollau/,53/294/0/3.87/5486,1912-1919
Innungshause, Saal in Innungshause, Viktoriastrasse 23,,Seweryna Mielżyńskiego/Gwarna 23,Seweryna Mielżyńskiego/Gwarna 23, Poznań,,,,A. betr. den Saal in Innungshause, Viktoriastrasse 23,53/294/0/3.87/5487,1912-1913
 Flussstrasse 2, Saal in, Flussstrasse 2,,Piastowska 2,Piastowska 2, Poznań,,,,A. betr. den Saal in Flussstrasse 2,53/294/0/3.87/5488,1912-1913
Hennig, Saal in, Kanonierstrasse 2,,Piotrowo 2,Piotrowo 2, Poznań,,,,A. betr. den Saal in Kanonierstrasse 2 /Hennig/,53/294/0/3.87/5489,1912-1919
 Dompfarrgemeinde in Posen, Saal der, Philippinerstrasse 5,,Filipińska 5,Filipińska 5, Poznań,,,,A. betr. den Saal der Dompfarrgemeinde in Posen Philippinerstrasse 5,53/294/0/3.87/5490,1913-1917
 Przybylski, Saal in, Eichwaldstrasse 20,,Droga Dębińska 20,Droga Dębińska 20, Poznań,,,,A. betr. den Saal in Eichwaldstrasse 20 - Przybylski,53/294/0/3.87/5491,1913-1916
 Wilhelmstrasse 25, Saal in, Wilhelmstrasse 25,,Al. Marcinkowskiego 25,Al. Marcinkowskiego 25, Poznań,,,,A. betr. den Saal in Wilhelmstrasse 25,53/294/0/3.87/5492,1913
St. Domingo, Saal in, Eichwaldstrasse 4,,Droga Dębińska 4,Droga Dębińska 4, Poznań,,,,A. betr. den Saal in Eichwaldstrasse 4 - St. Domingo,53/294/0/3.87/5493,1914-1915
 für die Gemeinde freier Christen, Saal in, Wilhelmstrasse 5,,Al. Marcinkowskiego 5,Al. Marcinkowskiego 5, Poznań,,,,A. betr. den Saal in Wilhelmstrasse 5 für die Gemeinde freier Christen,53/294/0/3.87/5494,1914-1915
Inhaber Walleiser,Saal in, Grosse Berlinerstrasse 5,,Jana Henryka Dąbrowskiego 5,Jana Henryka Dąbrowskiego 5, Poznań,,,,A. betr. den Saal in Grosse Berlinerstrasse 5 /Inhaber Walleiser/,53/294/0/3.87/5495,1916-1919
