Place Name,Owner,Address,Phone Number,Type,unnamed (1),Adressen PLZ
Rozanski, L.,,Schützenstr. 32,,Restaurateure,,Strzelecka 3 – 61-845
Salzenberg, A.,,Tiergartenstr. 22,,Restaurateure,,Zwierzyniecka 22 – 60-813
Schäfer, L.,,Eichwaldstr. 1.,,Restaurateure,,Droga Dębińska 1 - Poznań
Schäfer, W.,,Marstallstr. 2,,Restaurateure,,Masztalerska 2 – Poznan
Schäff, O.,,Feldstr. 18.,,Restaurateure,,Polna 18 - 60-533 Poznań
Scheiwe, F.,,Glogauer Str. 94,,,Restaurateure,,Roosevelta/Głogowska 94 - 60-809 Poznań
Schiffler, R.,,Sandstr. 1.,,Restaurateure,,Piaskowa 1, 61-753 Poznań, Polen
Schmalz, O.,,Hardenbergstr, 3.,,Restaurateure,,Wyspiańskiego 3 – 60-750
Schneider, P.,,Am Berliner Tor 10.,,Restaurateure,,Św. Marcin 10 - Poznań
Schubert, L.,,Gutenbergstr. 5.,,Restaurateure,,Mottego 5 – 61-680
Schüler, J.,,Krämerstr, 24.,,Restaurateure,,Kramarska 24 – 61-765
Schüler, K.,,Büttelstr. 10.,,Restaurateure,,Woźna 10 - 61-777 Poznań
Schultz, P.,,Viktoriastr. 12,,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 12 – 61-729
Schultz, R.,,Wallischei 60/62.,,Restaurateure,,Chwaliszewo 60/62 – 61-105
Schulz, P.,,Breslauer Str. 19,,,Restaurateure,,Wrocławska 19 - 61-837 Poznań
Schwanke, M.,,Wallischei 24.,,Restaurateure,,Chwaliszewo 24 – 61-104
Schwarz, E.,,Kanonierstr. 3.,,Restaurateure,,Piotrowo 3 – 61-138
Schwarz, E.,,Schützenstr. 3.,,Restaurateure,,Strzelecka 28 – 61-845
Schwersenz, J.,Viktoria-Restaurant,Königsplatz 5.,,Restaurateure,,Pl. Ratajskiego 5 – 61-726
Seeliger, P.,,Klosterstr. 6.,,Restaurateure,,Klasztorna 6 – 61-779
Seidel, W.,,Aug.-Viktoria-Str. 3.,,Restaurateure,,Grunwaldzka 3 Poznań
Sellmann, J.,,Gr. Berliner Str. 34.,,Restaurateure,,Dąbrowskiego 34 – Poznań
Siemieniewski, L.‚,,Unterwilda 60.,,Restaurateure,,Dolna Wilda 60 – 61-503
Skalski, W.,,Büttelstr. 16.,,Restaurateure,,Woźna 16 - 61-777 Poznań
Skrzypek, St.,,Klosterstr. 5.,,Restaurateure,,Klasztorna 5 – 61-779
Skukala,,,Breite Str. 7/8.,,Restaurateure,,Wielka 7/8 - 61-774 Poznań
Sobaniak, S.,,Kirchstr. 15.,,Restaurateure,,Kościelna 15 – 60-538
Sobczynski, F.,,Lazarusstr. 46.,,Restaurateure,,Głogowska 46 – 60-702
Soltysiak,,,Gurtschiner Str, 29a.,,Restaurateure,,Górczyńska 29a – Poznan
Splittstoesser, E,,St. Martinstrasse 4.,,Restaurateure,,Św. Marcin 4 – 61-803
Spychala, J.,,Lazarusstr. 36.,,Restaurateure,,Głogowska 36 – 60-702
Spychala, V.,,Glogauer Str. 52.,,Restaurateure,,Roosevelta/Głogowska 52 - 60-809 Poznań
Stachowiak, A.,,Alter Markt 20,,,Restaurateure,,Stary Rynek 20 - 61-772 Poznań
Stachowiak, A.,,Wronker Platz 6.,,Restaurateure,,Wolnica 6 – Poznan
Stanikowski, F.‚,,Gr.Gerberstr. 20.,,Restaurateure,,Garbary 20 – 61-866
Staszewski, N.,,Grabenstr. 1a,,,Restaurateure,,Grobla 1a – 61-859
Stawecki, L.,,St. Martinstr, 43,,,Restaurateure,,Św. Marcin 43 – 61-806
Stawny, M.,,Alter Markt 8.,,Restaurateure,,Stary Rynek 8 - 61-772 Poznań
Steinbock, M.,Inh. d. Kaiserkeller,Am Berliner Tor 3,,,Restaurateure,,Św. Marcin 3 - Poznań
Stempner, M.,,Mühlenstr, 3.,,Restaurateure,,Młyńska 3 – 61-729
Stenzel, J.,,Gerberdamm 7/9.,,Restaurateure,,Garbary 7/9 - 61-868 Poznań
Stepaniak, A.,(Cafe Habsburg),Breite Str. 20.,,Restaurateure,,Wielka 20 - 61-774 Poznań
Stolpe, H.,,Sapiehaplatz 4.,,Restaurateure,,Plac Wielkopolski 4 – 61-746
Strohmenger C.,,Mühlenstr. 3.,,Restaurateure,,Młyńska 3 – 61-729
Strohmenger, H.,,Viktoriastr2.6.,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 26 – 61-729
Strozyk, A.,,Zawade 9,,,Restaurateure,,Zawady 9 – Poznan
Strzelecki, A.,,Gr. Gerberstr. 45.,,Restaurateure,,Garbary 45 – 61-868
Swiderski, B.,,Gloganer Str. 55,,,Restaurateure,,Roosevelta/Głogowska 55 - 60-809 Poznań
Switalski, J.,,Schlossstr. 3.,,Restaurateure,,Zamkowa 3 – 61-768
Szczerkowski, B.,,WronkerStr.18,,,Restaurateure,,Wroniecka 18 – 61-763
Szklarski, A.,,Arndtstr, 29,,,Restaurateure,,Stanisława Knapowskiego 29 - Poznań
Szmytkiewicz,,,Jagowstr. 1.,,Restaurateure,,Szczanieckiej 1 – 60-215
Szymanski, M.,,Bachstr, 37.,,Restaurateure,,Gen. Sikorskiego 37 - Poznań
Szymanski, St.,,Helenenstr. 30.,,Restaurateure,,Prusa 30 – Poznan

Tadrowski, V.,,Alt. Markt 53/54.,,Restaurateure,,Stary Rynek 53/54 - 61-772 Poznań
Talarczyk, A.,,Schulstr. 10/10a.,,Restaurateure,,Szewska 6 – Poznan
Teuber, O.,,Kronprinzenstr. 4c,,,Restaurateure,,Górna Wilda 4c – 61-565
Theuer, G.,,Königsstr. 7,,,Restaurateure,,Karola Libelta 7 – 61-706
Thiel, E.,,Posener Str. 25.,,Restaurateure,,Poznańska 25 – poznan

Thunich, B.,,St. Martinstr. 54.,,Restaurateure,,Św. Marcin 54 – 61-807
Tiltz, V.,,Augustastr. 1.,,Restaurateure,,Niegolewskich 1 - 60-231 Poznań
Timm, H.,,Kronprinzenstr. 10.,,Restaurateure,,Górna Wilda 10 – 61-565
Tonn, B.,,Mühltor 2.,,Restaurateure,,52°24'42.4"N 16°55'41.3"E
Triller,,Bismarcktunnel, Bismarckstrasse 8.,,Restaurateure,,Kantaka 8 - 61-812 Poznań
Trosch, W.,,Wronker Str. 20,,,Restaurateure,,Wroniecka 20 – 61-763
Tulecka, C.,,Kronprinzenstr. 104.,,Restaurateure,,Górna Wilda 104 – 61-565
Twardy, F.,,Breite Str. 18.,,Restaurateure,,Wielka 18 - 61-774 Poznań
Urbanowski, L.,,Gr. Gerberstr. 34.,,Restaurateure,,Garbary 34 – 61-868
v. Kotarski, A.,,Ritterstr, 40,,Restaurateure,,Ratajczaka 40 – 61-815
v. Sarnowski, J.,,Zentralstr, 4.,,Restaurateure,,52°24'04.3"N 16°54'33.5"E
v. Sulikowski, L.,,Allerheiligen-Strasse 6,,,Restaurateure,,Wszystkich Świętych 6 - 61-843 Poznań
Voss, K.,,Wilhelmstr. 20.,,Restaurateure,,Al. Marcinkowskiego 20 – 61-827
Walczak, St.,,Eichwaldstr. 26,,,Restaurateure,,Droga Dębińska 26 -  Poznań
Walleiser, O.,,Kronprinzenstr. 26/27.,,Restaurateure,,Górna Wilda 26/27 – 61-565
Walleiser, R.,,Gr. Berliner Str. 5.,,Restaurateure,,Dąbrowskiego 5 – Poznań
Walski, C.,,Wronker Platz 7.,,Restaurateure,,Wolnica 7 – 61-744
Walter, J.,,Schulstr. 18.,,Restaurateure,,Szkolna 10 – 61-832
Warchlewski, A.,,St. Martinstr. 41.,,Restaurateure,,Św. Marcin 41 – 61-806
Wawrzyniak, V.,,Posener Str. 46.,,Restaurateure,,Poznańska 46 – 60-849
Wechsung, P.,,Berliner Str. 19,,,Restaurateure,,27 Grudnia 19 - Poznań
Weiss, W.,,Halbdorfstr. 33.,,Restaurateure,,Półwiejska 33 – 61-888
Wendrich,,Yorkstr. 1.,,Restaurateure,,Św. Jerzego 1 – 61-584
Wesolowski, K.,,Gr.Gerberstr. 35.,,Restaurateure,,Garbary 35 – 61-868
Wezorke, P.‚,,Gneisenaustr. 48/49.,,Restaurateure,,Prądzyńskiego 48/49 – 61-527
Wielanczyk, M.,,Kirchstr, 26.,,Restaurateure,,Kościelna 26 – 60-538
Wierzbicki,,,Wallischei 3/4.,,Restaurateure,,Chwaliszewo 3/4 – 61-105
Wilhelmshöhe, Inh.,,K. Arendt, Augustastr. 22,,,Restaurateure,,Niegolewskich 22 – 60-231
Wilken, G.,,Bergstr. 14.,,Restaurateure,,Podgórna 14 - 61-829 Poznań
Wisniewska, W.,,Gr. Berliner Strasse 82,,,Restaurateure,,Dąbrowskiego 82 – Poznań
Wittgrefe, H.,,Caprivistr. 5.,,Restaurateure,,Świętego Czesława 5 - 61-578 Poznań
Wittig, A.,,Posener Str. 21.,,Restaurateure,,Poznańska 21 – 60-849
Wladarczak, B.,,Gneisenaustr. 27.,,Restaurateure,,Prądzyńskiego 27 – 61-527
Wohlgetan, G.,,Sapiehapl. 5.,,Restaurateure,,Plac Wielkopolski 5 – 61-746
Wojciechowski, M.,,Zawade 13,,,Restaurateure,,Zawady 13 – Poznan

Wojtecki, A.,,Buker Str. 21.,,Restaurateure,,Bukowska 21 - Poznań
Wojtsynek, J.,,St. Martinstr. 22.,,Restaurateure,,Św. Marcin 22 – 61-805
Wörner, J.,,Bitterstr. 41.,,Restaurateure,,Wierzbięcie 41 - 61-623 Poznań
Zawada, M.,,Grabenstr. 18.,,Restaurateure,,Grobla 18 – 61-859
Zaworski, L.,,St. Martinstr. 69,,,Restaurateure,,Św. Marcin 69 – 61-807
Zeidler, K.,,Flussstr. 2,,,Restaurateure,,Piastowska 2 Poznań
Zickermann, R.,,Breslauer Str. 15.,,Restaurateure,,Wrocławska 15 - 61-837 Poznań
Zielinski, St.,,Gr. Gerberstr. 48.,,Restaurateure,,Garbary 48 – 61-868
Zilm, R.,,Kais.-Friedrich-Str. 39.,,Restaurateure,,Wawrzyniaka 39 – 60-505
Zimmer, E.,,Wallischei 18.,,Restaurateure,,Chwaliszewo 18 – 61-104
Zinser, P.,,Wallischei 1.,,Restaurateure,,Chwaliszewo 1 – 61-105
Zitzewitz, K.,,Hardenbergstr. 1.,,Restaurateure,,Wyspiańskiego 1 – 60-750
Zorczynska, M.,,Gr. Gerberstr. 8.,,Restaurateure,,Garbary 8 – 61-866
Zuchniewski, A,,Gr. Berliner Strasse 64.,,Restaurateure,,Dąbrowskiego 64 Poznań
