Place Name,Owner,Address,Phone Number,Type,unnamed (1),Adressen PLZ
Ertel, W.,,Glogauer Str. 73,,Restaurateure,,Roosevelta/Głogowska 73 - 60-809 Poznań
Exner,,Kaiser- Wilhelm-Str, 11,,Restaurateure,,Szamarzewskiego 11 – 60-514
Fechtmeyer, H.,,St. Martinstr. 39,,Restaurateure,,Św. Marcin 39 – 61-806
Feldschloss,,Glogauer Str. 55,,Restaurateure,,Roosevelta/Głogowska 55 - 60-809 Poznań
Fiedler, A.,,Kronprinzenstr, 101,,Restaurateure,,Górna Wilda 101 – 61-565
Fiedler, E.,,Glogauer Str. 53,,Restaurateure,,Roosevelta/Głogowska 53 - 60-809 Poznań
Fischbach, A.,,St. Martinstr, 68,,Restaurateure,,Św. Marcin 68 – 61-807
Fischbach, J.,,Alter Markt 8,,Restaurateure,,Stary Rynek 8 - 61-772 Poznań
Fleischer, R.,,Büttelstr. 2,,Restaurateure,,Woźna 2 - 61-777 Poznań
Foltyn, St.,,Jesuitenstr. 11,,Restaurateure,,Świętosławska 11 – 61-840
Fortuniak,Zum groben Gottlieb,Büttelstr. 7/8,,Restaurateure,,Woźna 7/8 - 61-777 Poznań
Frackowiak, A.,,Feldstr. 2,,Restaurateure,,Polna 2 - 60-533 Poznań
Fröhlich, A.,,Wronker Platz 3,,Restaurateure,,Wolnica 3 – Poznan
Frydryszak,,Fischerei 31,,Restaurateure,,Rybaki 31 - 61-884 Poznań
Galecki, E.,,Zawade 31,,Restaurateure,,Zawady 31 – Poznan
Ganonski, St.,,Auguste-Viktoria-Strasse. 11,,Restaurateure,,Grunwaldzka 11 - 60-782 Poznań
Gaumer, G.,,Auguste-Viktoria-Strasse 16,,Restaurateure,,Grunwaldzka 16 - 60-782 Poznań
Gensler, J.,,Breslauer Str, 36,,Restaurateure,,Wrocławska 36 - 61-837 Poznań
Glaetzner, A.,,Theaterstr. 2,,Restaurateure,,3 Maja 2 – 61-728
Glapa, St.,,Wallischei 64,,Restaurateure,,Chwaliszewo 64 – 61-105
Gniatezynski,,St. Martinstr, 64,,Restaurateure,,Św. Marcin 64 – 61-807
Gocksch,,Wallischei 76,,Restaurateure,,Chwaliszewo 76 – 61-105
Godurkiewiez, S.,,Am Tempel 15,,Restaurateure,,Bóźnicza 15 - 61-751 Poznań
Gogulski, S.,,Hohenlohestr. 16,,Restaurateure,,Żupańskiego 16 – 60-673
Golisch,,Fort Kernwerk,,Restaurateure,,Za Cytadelą 128 - Poznań
Gollan, J.,,Unterwilda 71,72,,Restaurateure,,Dolna Wilda 71/72 – 61-503
Gomonski,,Auguste - Viktoria-Strasse 13,,Restaurateure,,Grunwaldzka 13 - 60-782 Poznań
Görlich, J.,,Bäckerstr. 22/23,,Restaurateure,,Piekary 22/23 - 61-823 Poznań
Gorny,,Gr. Gerberstr. 54,,Restaurateure,,Garbary 54 – 61-868
Gorska, W.,,Bäckerstr, 24,,Restaurateure,,Piekary 24 - 61-823 Poznań
Götze,,Berliner Str. 15,,Restaurateure,,27 Grudnia 15 -  Poznań
Grade, K.,,Bitterstr. 48,,Restaurateure,,Wierzbięcie 48 - 61-623 Poznań
Grade, O.,,Viktoriastr. 3,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 3 – 61-729
Grand Cafe,,Wilhelmplatz 18,,Restaurateure,,Pl. Wolności 18 – 61-738
Grannich,,Glogauer Str. 43,,Restaurateure,,Roosevelta/Głogowska 43 - 60-809 Poznań
Grund, J.,,Aug.-Viktoria-Str. 19,,Restaurateure,,Grunwaldzka 19 - Poznań
Grünhagel,,Bäckerstr. 19,,Restaurateure,,Piekary 19 - 61-823 Poznań
Grüning, K.,,Rheinische Str. 5,,Restaurateure,,Śląska 5 – Poznan
Grzybek,,Schrodkamarkt 3,,Restaurateure,,Rynek Śródecki 1 – 61-125
Gubert, P.,,Zentralbahnhof,,Restaurateure,,Dworzec Główny – 61-895
Gumprecht, B.,,St. Martinstr. 26,,Restaurateure,,Św. Marcin 26 – 61-805
Gutke, F.,,Ritterstr, 26,,Restaurateure,,Ratajczaka 26 – 61-815
Haase, A,Reichshof ,St. Martinstrasse 36,,Restaurateure,,Św. Marcin 36 – 61-805
Heidrich, R.,,Kernwerksmühle 1,,Restaurateure,,Na Podgórniku 1 – Poznan
Heimrath, B.,,Gr. Gerberstr. 21,,Restaurateure,,Garbary 21 – 61-868
Hennig, O.,,Kanonierstr. 2,,Restaurateure,,Piotrowo 2 – 61-138
Heusig, B.,,Eichwaldstr, 5,,Restaurateure,,Droga Dębińska 5 - Poznań
Heynowiez, J.,,Lazarusstr. 1,,Restaurateure,,Głogowska 1 – 60-702
Hildebrandt, R.,,Theaterstr. 3,,Restaurateure,,3 Maja 3 – 61-728
Hinz, R.,,Gneisenaustr. 30,,Restaurateure,,Prądzyńskiego 30 – Poznan

Hitze, P.,,Glogauer Str. 46,,Restaurateure,,Roosevelta/Głogowska 46 - 60-809 Poznań
Hoffmann, C.,,Schützenstr,. 25,,Restaurateure,,Szkolna 18 – 61-832
Hoffmann, R.,,Gr. Berliner Str. 46,,Restaurateure,,Dąbrowskiego 46 – Poznan
Holewik, H.,,Tiergartenstr. 8,,Restaurateure,,Zwierzyniecka 8 – 60-813
Hoppel, A,,Kais.-Friedrich-Str. 13,,Restaurateure,,Wawrzyniaka 13 – 60-505
Horn, A.,(Hackerbräu) ,Friedrichstrasse 25,,Restaurateure,,23 Lutego 25 - 61-742 Poznań
Jakob, P.,,Glogauer Str, 80/81,,Restaurateure,,Głogowska 80/81 - 60-809 Poznań
Janas, M.,,St. Martinstr. 49,,Restaurateure,,Św. Marcin 49 – 61-806
Jankowski, M.,,Posadowskystrasse 32,,Restaurateure,,Mostowa 32 – 61-854
Jarecki, M.,,Marstallstr. 2,,Restaurateure,,Masztalerska 2 – Poznan
Jarmuszkiewiez, K.,,Gr. Gerberstrasse 10,,Restaurateure,,Garbary 10 – 61-866
Jarocki, A.,,Jakobstr. 3,,Restaurateure,,Mączna 3 – Poznan
Jarocki, J.,,St. Martinstr. 4,,Restaurateure,,Św. Marcin 4 – 61-803
Jasiak, A.,i. F. Czarnacki,Bismarckstr. 7,,Restaurateure,,Kantaka 7 - 61-812 Poznań
Jeczkowiak, A.,,Gr. Berliner Strasse 65,,Restaurateure,,Dąbrowskiego 65 – Poznan
Jendrowiak, K.,,Ostrowek 13,,Restaurateure,,Ostrówek 13 Poznan
Jeske, J.,,Gr. Gerberstr. 41,,Restaurateure,,Garbary 44 – 61-868
Jone, O.,,Alter Markt (Ratskeller),,Restaurateure,,Stary Rynek (Ratskeller) - 61-772 Poznań
Jone, R.,,Bitterstr. 27,,Restaurateure,,Wierzbięcie 27 - 61-623 Poznań
Junge, G.,,Sapiehaplatz 8,,Restaurateure,,Plac Wielkopolski 8 – 61-746
Juraczyk, A,,Kronprinzenstr. 107,,Restaurateure,,Górna Wilda 107 – 61-565
Kaboninski, A.,,Viktoriastr. 5,,Restaurateure,,Seweryna Mielżyńskiego/Gwarna 5 – 61-729
Kaczmarek, J.,,Kirchstr, 49,,Restaurateure,,Kościelna 49 – 60-538
Kaczmarek, J.,,St. Roch 21,,Restaurateure,,Św. Rocha 21 – Poznan
Kaczmarek, St.,,St. Martinstr. 6,,Restaurateure,,Św. Marcin 6 – 61-803
Kaerger, R.,,Dammstr. 8/9,,Restaurateure,,Czartoria 8/9 - 61-102 Poznań
Kammler, G.,,Fabrikstr, 13,,Restaurateure,,Fabryczna 13 - 61-523 Poznań
Karasinski, T.,,Ostrowek 10/11,,Restaurateure,,Ostrówek 10/11 – 61-102
Kasprzak, F.,,Eichwaldstr. 7,,Restaurateure,,Droga Dębińska 7 -  Poznań
Kesselbauer, H.,,Gr. Gerberstrasse 13,,Restaurateure,,Garbary 13 – 61-866
Kienast, J.,,Kaiser-Friedrich-Strasse 21,,Restaurateure,,Wawrzyniaka 21 – 60-505
Kierulski, J.,Zum Bernhardiner,Bernhardinerpl. 2,,Restaurateure,,Plac Bernardyński 2 - 61-844 Poznań
Kitzelmann, Gr.,,Berliner Str. 15,,Restaurateure,,27 Grudnia 15 - Poznań
Klafkowski,,Bromberger Str, 2a,,Restaurateure,,Bydgoska 2a - 61-126 Poznań
Klatt, St.,,Parkstr. 10,,Restaurateure,,J. Strusia 10 – Poznan
Klensporf,,Schützenstr. 28,,Restaurateure,,Strzelecka 12 – 61-845
Knajdek, F.,,Schuhmacherstr 20,,Restaurateure,,Rynek Śródecki 3 – 61-125
Knasiak, A.,,St. Adalbertstr. 31,,Restaurateure,,Św. Wojciech 31 – 61-749
